[H2(g)](M),[O2(g)](M),[C(g)](M),[N2(g)](M),R_X(M/s),R_Y(M/s),R_Z(M/s),R_W(M/s),R_V(M/s),R_U(M/s)
1.00E-02,5.00E+00,1.00E-01,5.00E+00,5.48E-06,8.88E-03,4.20E-14,3.15E-33,4.93E-07,1.87E-17
1.00E-02,5.00E+00,5.00E-01,1.00E-02,1.38E-04,2.00E-03,5.92E-12,1.23E-27,1.28E-05,8.16E-12
1.00E-02,5.00E+00,5.00E-01,5.00E-02,1.38E-04,4.44E-03,1.30E-11,1.24E-27,1.26E-05,1.85E-11
1.00E-02,5.00E+00,5.00E-01,1.00E-01,1.37E-04,6.27E-03,1.84E-11,1.25E-27,1.27E-05,2.59E-11
1.00E-02,5.00E+00,5.00E-01,5.00E-01,1.36E-04,1.40E-02,4.17E-11,1.24E-27,1.25E-05,5.83E-11
1.00E-02,5.00E+00,5.00E-01,1.00E+00,1.36E-04,2.02E-02,5.89E-11,1.24E-27,1.26E-05,8.25E-11
1.00E-02,5.00E+00,5.00E-01,5.00E+00,1.38E-04,4.45E-02,1.30E-10,1.23E-27,1.25E-05,1.85E-10
1.00E-02,5.00E+00,1.00E+00,1.00E-02,5.47E-04,4.04E-03,1.89E-10,3.19E-25,5.01E-05,8.40E-09
1.00E-02,5.00E+00,1.00E+00,5.00E-02,5.49E-04,8.94E-03,4.20E-10,3.15E-25,4.95E-05,1.89E-08
1.00E-02,5.00E+00,1.00E+00,1.00E-01,5.52E-04,1.27E-02,5.90E-10,3.14E-25,4.99E-05,2.67E-08
1.00E-02,5.00E+00,1.00E+00,5.00E-01,5.50E-04,2.82E-02,1.34E-09,3.15E-25,4.91E-05,5.93E-08
1.00E-02,5.00E+00,1.00E+00,1.00E+00,5.56E-04,4.03E-02,1.87E-09,3.14E-25,4.96E-05,8.42E-08
1.00E-02,5.00E+00,1.00E+00,5.00E+00,5.54E-04,9.00E-02,4.24E-09,3.19E-25,4.98E-05,1.90E-07
1.00E-02,5.00E+00,5.00E+00,1.00E-02,1.38E-02,2.01E-02,5.82E-07,1.23E-19,1.23E-03,8.28E-02
1.00E-02,5.00E+00,5.00E+00,5.00E-02,1.39E-02,4.43E-02,1.30E-06,1.23E-19,1.25E-03,1.85E-01
1.00E-02,5.00E+00,5.00E+00,1.00E-01,1.38E-02,6.38E-02,1.85E-06,1.24E-19,1.27E-03,2.62E-01
1.00E-02,5.00E+00,5.00E+00,5.00E-01,1.38E-02,1.40E-01,4.18E-06,1.24E-19,1.23E-03,5.77E-01
1.00E-02,5.00E+00,5.00E+00,1.00E+00,1.37E-02,1.99E-01,5.85E-06,1.24E-19,1.25E-03,8.29E-01
1.00E-02,5.00E+00,5.00E+00,5.00E+00,1.37E-02,4.49E-01,1.32E-05,1.24E-19,1.24E-03,1.85E+00
5.00E-02,1.00E-02,1.00E-02,1.00E-02,2.76E-09,8.94E-05,5.91E-18,6.20E-35,2.54E-10,2.10E-30
5.00E-02,1.00E-02,1.00E-02,5.00E-02,2.74E-09,2.01E-04,1.30E-17,6.22E-35,2.49E-10,4.68E-30
5.00E-02,1.00E-02,1.00E-02,1.00E-01,2.76E-09,2.84E-04,1.84E-17,6.15E-35,2.47E-10,6.71E-30
5.00E-02,1.00E-02,1.00E-02,5.00E-01,2.75E-09,6.37E-04,4.16E-17,6.17E-35,2.45E-10,1.48E-29
5.00E-02,1.00E-02,1.00E-02,1.00E+00,2.75E-09,8.90E-04,5.90E-17,6.24E-35,2.51E-10,2.12E-29
5.00E-02,1.00E-02,1.00E-02,5.00E+00,2.73E-09,2.01E-03,1.30E-16,6.23E-35,2.54E-10,4.70E-29
5.00E-02,1.00E-02,5.00E-02,1.00E-02,6.88E-08,4.45E-04,1.84E-14,2.41E-29,6.27E-09,2.08E-23
5.00E-02,1.00E-02,5.00E-02,5.00E-02,6.92E-08,9.98E-04,4.09E-14,2.44E-29,6.15E-09,4.61E-23
5.00E-02,1.00E-02,5.00E-02,1.00E-01,6.84E-08,1.41E-03,5.82E-14,2.41E-29,6.37E-09,6.55E-23
5.00E-02,1.00E-02,5.00E-02,5.00E-01,6.90E-08,3.16E-03,1.31E-13,2.41E-29,6.16E-09,1.44E-22
5.00E-02,1.00E-02,5.00E-02,1.00E+00,6.93E-08,4.47E-03,1.83E-13,2.41E-29,6.37E-09,2.05E-22
5.00E-02,1.00E-02,5.00E-02,5.00E+00,6.91E-08,9.94E-03,4.07E-13,2.42E-29,6.30E-09,4.64E-22
5.00E-02,1.00E-02,1.00E-01,1.00E-02,2.73E-07,8.99E-04,5.84E-13,6.20E-27,2.53E-08,2.09E-20
5.00E-02,1.00E-02,1.00E-01,5.00E-02,2.78E-07,2.02E-03,1.31E-12,6.19E-27,2.54E-08,4.75E-20
5.00E-02,1.00E-02,1.00E-01,1.00E-01,2.77E-07,2.81E-03,1.85E-12,6.18E-27,2.49E-08,6.68E-20
5.00E-02,1.00E-02,1.00E-01,5.00E-01,2.73E-07,6.31E-03,4.19E-12,6.15E-27,2.54E-08,1.50E-19
5.00E-02,1.00E-02,1.00E-01,1.00E+00,2.73E-07,9.01E-03,5.84E-12,6.18E-27,2.53E-08,2.11E-19
5.00E-02,1.00E-02,1.00E-01,5.00E+00,2.73E-07,2.02E-02,1.32E-11,6.16E-27,2.46E-08,4.76E-19
5.00E-02,1.00E-02,5.00E-01,1.00E-02,6.89E-06,4.47E-03,1.82E-09,2.42E-21,6.22E-07,2.04E-13
5.00E-02,1.00E-02,5.00E-01,5.00E-02,6.94E-06,1.00E-02,4.07E-09,2.43E-21,6.14E-07,4.59E-13
5.00E-02,1.00E-02,5.00E-01,1.00E-01,6.86E-06,1.42E-02,5.75E-09,2.44E-21,6.20E-07,6.56E-13
5.00E-02,1.00E-02,5.00E-01,5.00E-01,6.83E-06,3.16E-02,1.30E-08,2.40E-21,6.24E-07,1.45E-12
5.00E-02,1.00E-02,5.00E-01,1.00E+00,6.89E-06,4.47E-02,1.82E-08,2.40E-21,6.33E-07,2.08E-12
5.00E-02,1.00E-02,5.00E-01,5.00E+00,6.89E-06,9.90E-02,4.12E-08,2.41E-21,6.32E-07,4.57E-12
5.00E-02,1.00E-02,1.00E+00,1.00E-02,2.77E-05,8.91E-03,5.92E-08,6.21E-19,2.48E-06,2.11E-10
5.00E-02,1.00E-02,1.00E+00,5.00E-02,2.76E-05,1.99E-02,1.31E-07,6.20E-19,2.54E-06,4.75E-10
5.00E-02,1.00E-02,1.00E+00,1.00E-01,2.76E-05,2.84E-02,1.84E-07,6.18E-19,2.45E-06,6.65E-10
5.00E-02,1.00E-02,1.00E+00,5.00E-01,2.76E-05,6.26E-02,4.12E-07,6.17E-19,2.48E-06,1.48E-09
5.00E-02,1.00E-02,1.00E+00,1.00E+00,2.74E-05,8.91E-02,5.92E-07,6.17E-19,2.55E-06,2.12E-09
5.00E-02,1.00E-02,1.00E+00,5.00E+00,2.78E-05,2.01E-01,1.32E-06,6.18E-19,2.46E-06,4.70E-09
5.00E-02,1.00E-02,5.00E+00,1.00E-02,6.85E-04,4.43E-02,1.83E-04,2.41E-13,6.30E-05,2.06E-03
5.00E-02,1.00E-02,5.00E+00,5.00E-02,6.85E-04,9.90E-02,4.08E-04,2.44E-13,6.14E-05,4.61E-03
5.00E-02,1.00E-02,5.00E+00,1.00E-01,6.88E-04,1.42E-01,5.80E-04,2.44E-13,6.26E-05,6.54E-03
5.00E-02,1.00E-02,5.00E+00,5.00E-01,6.94E-04,3.19E-01,1.31E-03,2.40E-13,6.29E-05,1.46E-02
5.00E-02,1.00E-02,5.00E+00,1.00E+00,6.87E-04,4.50E-01,1.82E-03,2.41E-13,6.25E-05,2.06E-02
5.00E-02,1.00E-02,5.00E+00,5.00E+00,6.83E-04,1.00E+00,4.06E-03,2.42E-13,6.23E-05,4.62E-02
5.00E-02,5.00E-02,1.00E-02,1.00E-02,1.38E-08,8.96E-05,1.31E-17,6.16E-35,1.26E-09,2.36E-29
5.00E-02,5.00E-02,1.00E-02,5.00E-02,1.38E-08,2.00E-04,2.92E-17,6.15E-35,1.23E-09,5.31E-29
5.00E-02,5.00E-02,1.00E-02,1.00E-01,1.37E-08,2.83E-04,4.12E-17,6.16E-35,1.24E-09,7.52E-29
5.00E-02,5.00E-02,1.00E-02,5.00E-01,1.39E-08,6.35E-04,9.27E-17,6.22E-35,1.23E-09,1.67E-28
5.00E-02,5.00E-02,1.00E-02,1.00E+00,1.38E-08,8.87E-04,1.32E-16,6.16E-35,1.24E-09,2.35E-28
5.00E-02,5.00E-02,1.00E-02,5.00E+00,1.38E-08,2.01E-03,2.95E-16,6.22E-35,1.23E-09,5.28E-28
5.00E-02,5.00E-02,5.00E-02,1.00E-02,3.44E-07,4.45E-04,4.07E-14,2.42E-29,3.13E-08,2.28E-22
5.00E-02,5.00E-02,5.00E-02,5.00E-02,3.43E-07,9.91E-04,9.22E-14,2.43E-29,3.13E-08,5.15E-22
5.00E-02,5.00E-02,5.00E-02,1.00E-01,3.47E-07,1.43E-03,1.29E-13,2.44E-29,3.11E-08,7.28E-22
5.00E-02,5.00E-02,5.00E-02,5.00E-01,3.47E-07,3.14E-03,2.89E-13,2.41E-29,3.17E-08,1.64E-21
5.00E-02,5.00E-02,5.00E-02,1.00E+00,3.45E-07,4.43E-03,4.10E-13,2.44E-29,3.13E-08,2.28E-21
5.00E-02,5.00E-02,5.00E-02,5.00E+00,3.42E-07,1.00E-02,9.14E-13,2.44E-29,3.15E-08,5.18E-21
5.00E-02,5.00E-02,1.00E-01,1.00E-02,1.37E-06,8.99E-04,1.31E-12,6.24E-27,1.23E-07,2.37E-19
5.00E-02,5.00E-02,1.00E-01,5.00E-02,1.37E-06,2.01E-03,2.91E-12,6.19E-27,1.26E-07,5.23E-19
5.00E-02,5.00E-02,1.00E-01,1.00E-01,1.38E-06,2.85E-03,4.12E-12,6.16E-27,1.23E-07,7.41E-19
5.00E-02,5.00E-02,1.00E-01,5.00E-01,1.37E-06,6.28E-03,9.26E-12,6.23E-27,1.23E-07,1.65E-18
5.00E-02,5.00E-02,1.00E-01,1.00E+00,1.37E-06,8.92E-03,1.30E-11,6.17E-27,1.26E-07,2.34E-18
5.00E-02,5.00E-02,1.00E-01,5.00E+00,1.38E-06,2.01E-02,2.96E-11,6.20E-27,1.24E-07,5.29E-18
5.00E-02,5.00E-02,5.00E-01,1.00E-02,3.42E-05,4.46E-03,4.07E-09,2.42E-21,3.06E-06,2.28E-12
5.00E-02,5.00E-02,5.00E-01,5.00E-02,3.46E-05,1.00E-02,9.10E-09,2.43E-21,3.14E-06,5.19E-12
5.00E-02,5.00E-02,5.00E-01,1.00E-01,3.44E-05,1.40E-02,1.31E-08,2.43E-21,3.14E-06,7.28E-12
5.00E-02,5.00E-02,5.00E-01,5.00E-01,3.42E-05,3.16E-02,2.91E-08,2.43E-21,3.09E-06,1.61E-11
5.00E-02,5.00E-02,5.00E-01,1.00E+00,3.44E-05,4.44E-02,4.13E-08,2.43E-21,3.08E-06,2.28E-11
5.00E-02,5.00E-02,5.00E-01,5.00E+00,3.45E-05,1.01E-01,9.08E-08,2.42E-21,3.11E-06,5.17E-11
5.00E-02,5.00E-02,1.00E+00,1.00E-02,1.38E-04,9.02E-03,1.31E-07,6.21E-19,1.24E-05,2.34E-09
5.00E-02,5.00E-02,1.00E+00,5.00E-02,1.38E-04,1.99E-02,2.94E-07,6.17E-19,1.25E-05,5.26E-09
5.00E-02,5.00E-02,1.00E+00,1.00E-01,1.39E-04,2.85E-02,4.12E-07,6.17E-19,1.25E-05,7.45E-09
5.00E-02,5.00E-02,1.00E+00,5.00E-01,1.38E-04,6.32E-02,9.30E-07,6.21E-19,1.24E-05,1.66E-08
5.00E-02,5.00E-02,1.00E+00,1.00E+00,1.37E-04,9.01E-02,1.32E-06,6.16E-19,1.25E-05,2.35E-08
5.00E-02,5.00E-02,1.00E+00,5.00E+00,1.38E-04,1.99E-01,2.94E-06,6.13E-19,1.25E-05,5.26E-08
5.00E-02,5.00E-02,5.00E+00,1.00E-02,3.47E-03,4.49E-02,4.11E-04,2.39E-13,3.07E-04,2.30E-02
5.00E-02,5.00E-02,5.00E+00,5.00E-02,3.42E-03,1.00E-01,9.10E-04,2.44E-13,3.11E-04,5.13E-02
5.00E-02,5.00E-02,5.00E+00,1.00E-01,3.41E-03,1.40E-01,1.29E-03,2.42E-13,3.07E-04,7.30E-02
5.00E-02,5.00E-02,5.00E+00,5.00E-01,3.47E-03,3.15E-01,2.93E-03,2.40E-13,3.08E-04,1.63E-01
5.00E-02,5.00E-02,5.00E+00,1.00E+00,3.43E-03,4.51E-01,4.11E-03,2.40E-13,3.12E-04,2.28E-01
5.00E-02,5.00E-02,5.00E+00,5.00E+00,3.43E-03,1.00E+00,9.25E-03,2.43E-13,3.09E-04,5.18E-01
5.00E-02,1.00E-01,1.00E-02,1.00E-02,2.78E-08,8.92E-05,1.86E-17,6.23E-35,2.47E-09,6.68E-29
5.00E-02,1.00E-01,1.00E-02,5.00E-02,2.78E-08,2.01E-04,4.18E-17,6.14E-35,2.48E-09,1.49E-28
5.00E-02,1.00E-01,1.00E-02,1.00E-01,2.73E-08,2.84E-04,5.91E-17,6.23E-35,2.52E-09,2.10E-28
5.00E-02,1.00E-01,1.00E-02,5.00E-01,2.76E-08,6.35E-04,1.32E-16,6.17E-35,2.53E-09,4.68E-28
5.00E-02,1.00E-01,1.00E-02,1.00E+00,2.75E-08,8.88E-04,1.84E-16,6.16E-35,2.47E-09,6.69E-28
5.00E-02,1.00E-01,1.00E-02,5.00E+00,2.74E-08,2.00E-03,4.18E-16,6.21E-35,2.47E-09,1.49E-27
5.00E-02,1.00E-01,5.00E-02,1.00E-02,6.92E-07,4.47E-04,5.79E-14,2.41E-29,6.19E-08,6.49E-22
5.00E-02,1.00E-01,5.00E-02,5.00E-02,6.90E-07,1.00E-03,1.31E-13,2.44E-29,6.25E-08,1.45E-21
5.00E-02,1.00E-01,5.00E-02,1.00E-01,6.86E-07,1.42E-03,1.85E-13,2.39E-29,6.21E-08,2.05E-21
5.00E-02,1.00E-01,5.00E-02,5.00E-01,6.83E-07,3.14E-03,4.13E-13,2.43E-29,6.16E-08,4.59E-21
5.00E-02,1.00E-01,5.00E-02,1.00E+00,6.91E-07,4.50E-03,5.85E-13,2.42E-29,6.24E-08,6.53E-21
5.00E-02,1.00E-01,5.00E-02,5.00E+00,6.87E-07,1.01E-02,1.30E-12,2.42E-29,6.23E-08,1.47E-20
5.00E-02,1.00E-01,1.00E-01,1.00E-02,2.74E-06,8.90E-04,1.87E-12,6.24E-27,2.49E-07,6.66E-19
5.00E-02,1.00E-01,1.00E-01,5.00E-02,2.75E-06,2.00E-03,4.16E-12,6.22E-27,2.48E-07,1.48E-18
5.00E-02,1.00E-01,1.00E-01,1.00E-01,2.78E-06,2.83E-03,5.85E-12,6.22E-27,2.52E-07,2.11E-18
5.00E-02,1.00E-01,1.00E-01,5.00E-01,2.75E-06,6.26E-03,1.30E-11,6.16E-27,2.53E-07,4.70E-18
5.00E-02,1.00E-01,1.00E-01,1.00E+00,2.74E-06,8.87E-03,1.87E-11,6.13E-27,2.52E-07,6.62E-18
5.00E-02,1.00E-01,1.00E-01,5.00E+00,2.75E-06,2.01E-02,4.12E-11,6.24E-27,2.45E-07,1.50E-17
5.00E-02,1.00E-01,5.00E-01,1.00E-02,6.95E-05,4.47E-03,5.82E-09,2.40E-21,6.13E-06,6.47E-12
5.00E-02,1.00E-01,5.00E-01,5.00E-02,6.91E-05,1.00E-02,1.29E-08,2.42E-21,6.20E-06,1.46E-11
5.00E-02,1.00E-01,5.00E-01,1.00E-01,6.89E-05,1.41E-02,1.83E-08,2.42E-21,6.28E-06,2.05E-11
5.00E-02,1.00E-01,5.00E-01,5.00E-01,6.86E-05,3.17E-02,4.07E-08,2.40E-21,6.35E-06,4.57E-11
5.00E-02,1.00E-01,5.00E-01,1.00E+00,6.91E-05,4.50E-02,5.78E-08,2.40E-21,6.32E-06,6.45E-11
5.00E-02,1.00E-01,5.00E-01,5.00E+00,6.87E-05,1.00E-01,1.29E-07,2.42E-21,6.33E-06,1.45E-10
5.00E-02,1.00E-01,1.00E+00,1.00E-02,2.73E-04,9.01E-03,1.87E-07,6.14E-19,2.49E-05,6.71E-09
5.00E-02,1.00E-01,1.00E+00,5.00E-02,2.75E-04,2.01E-02,4.13E-07,6.20E-19,2.54E-05,1.48E-08
5.00E-02,1.00E-01,1.00E+00,1.00E-01,2.75E-04,2.85E-02,5.85E-07,6.24E-19,2.46E-05,2.11E-08
5.00E-02,1.00E-01,1.00E+00,5.00E-01,2.78E-04,6.34E-02,1.32E-06,6.18E-19,2.46E-05,4.68E-08
5.00E-02,1.00E-01,1.00E+00,1.00E+00,2.74E-04,8.94E-02,1.86E-06,6.14E-19,2.51E-05,6.61E-08
5.00E-02,1.00E-01,1.00E+00,5.00E+00,2.76E-04,2.02E-01,4.16E-06,6.19E-19,2.49E-05,1.50E-07
5.00E-02,1.00E-01,5.00E+00,1.00E-02,6.85E-03,4.52E-02,5.84E-04,2.41E-13,6.37E-04,6.48E-02
5.00E-02,1.00E-01,5.00E+00,5.00E-02,6.82E-03,9.90E-02,1.31E-03,2.43E-13,6.19E-04,1.45E-01
5.00E-02,1.00E-01,5.00E+00,1.00E-01,6.84E-03,1.41E-01,1.83E-03,2.43E-13,6.34E-04,2.04E-01
5.00E-02,1.00E-01,5.00E+00,5.00E-01,6.85E-03,3.15E-01,4.11E-03,2.41E-13,6.24E-04,4.58E-01
5.00E-02,1.00E-01,5.00E+00,1.00E+00,6.90E-03,4.44E-01,5.76E-03,2.41E-13,6.28E-04,6.51E-01
5.00E-02,1.00E-01,5.00E+00,5.00E+00,6.85E-03,9.91E-01,1.30E-02,2.43E-13,6.17E-04,1.45E+00
5.00E-02,5.00E-01,1.00E-02,1.00E-02,1.37E-07,8.86E-05,4.16E-17,6.25E-35,1.26E-08,7.49E-28
5.00E-02,5.00E-01,1.00E-02,5.00E-02,1.39E-07,2.00E-04,9.34E-17,6.17E-35,1.23E-08,1.68E-27
5.00E-02,5.00E-01,1.00E-02,1.00E-01,1.38E-07,2.81E-04,1.30E-16,6.13E-35,1.27E-08,2.37E-27
5.00E-02,5.00E-01,1.00E-02,5.00E-01,1.39E-07,6.29E-04,2.92E-16,6.13E-35,1.24E-08,5.31E-27
5.00E-02,5.00E-01,1.00E-02,1.00E+00,1.36E-07,8.87E-04,4.18E-16,6.22E-35,1.23E-08,7.45E-27
5.00E-02,5.00E-01,1.00E-02,5.00E+00,1.37E-07,2.01E-03,9.25E-16,6.23E-35,1.26E-08,1.67E-26
5.00E-02,5.00E-01,5.00E-02,1.00E-02,3.47E-06,4.51E-04,1.30E-13,2.40E-29,3.18E-07,7.25E-21
5.00E-02,5.00E-01,5.00E-02,5.00E-02,3.47E-06,1.00E-03,2.90E-13,2.43E-29,3.15E-07,1.63E-20
5.00E-02,5.00E-01,5.00E-02,1.00E-01,3.45E-06,1.41E-03,4.07E-13,2.41E-29,3.18E-07,2.29E-20
5.00E-02,5.00E-01,5.00E-02,5.00E-01,3.45E-06,3.15E-03,9.25E-13,2.44E-29,3.14E-07,5.17E-20
5.00E-02,5.00E-01,5.00E-02,1.00E+00,3.44E-06,4.46E-03,1.30E-12,2.43E-29,3.09E-07,7.30E-20
5.00E-02,5.00E-01,5.00E-02,5.00E+00,3.45E-06,1.00E-02,2.91E-12,2.41E-29,3.08E-07,1.61E-19
5.00E-02,5.00E-01,1.00E-01,1.00E-02,1.38E-05,8.92E-04,4.12E-12,6.16E-27,1.25E-06,7.44E-18
5.00E-02,5.00E-01,1.00E-01,5.00E-02,1.37E-05,1.98E-03,9.23E-12,6.17E-27,1.26E-06,1.65E-17
5.00E-02,5.00E-01,1.00E-01,1.00E-01,1.38E-05,2.85E-03,1.30E-11,6.18E-27,1.27E-06,2.35E-17
5.00E-02,5.00E-01,1.00E-01,5.00E-01,1.38E-05,6.26E-03,2.94E-11,6.20E-27,1.23E-06,5.22E-17
5.00E-02,5.00E-01,1.00E-01,1.00E+00,1.39E-05,8.89E-03,4.15E-11,6.23E-27,1.25E-06,7.43E-17
5.00E-02,5.00E-01,1.00E-01,5.00E+00,1.37E-05,2.02E-02,9.30E-11,6.17E-27,1.25E-06,1.68E-16
5.00E-02,5.00E-01,5.00E-01,1.00E-02,3.45E-04,4.43E-03,1.30E-08,2.41E-21,3.13E-05,7.34E-11
5.00E-02,5.00E-01,5.00E-01,5.00E-02,3.44E-04,9.96E-03,2.93E-08,2.41E-21,3.11E-05,1.64E-10
5.00E-02,5.00E-01,5.00E-01,1.00E-01,3.47E-04,1.41E-02,4.13E-08,2.41E-21,3.17E-05,2.30E-10
5.00E-02,5.00E-01,5.00E-01,5.00E-01,3.46E-04,3.19E-02,9.18E-08,2.40E-21,3.14E-05,5.12E-10
5.00E-02,5.00E-01,5.00E-01,1.00E+00,3.47E-04,4.50E-02,1.28E-07,2.43E-21,3.10E-05,7.23E-10
5.00E-02,5.00E-01,5.00E-01,5.00E+00,3.41E-04,1.01E-01,2.91E-07,2.40E-21,3.10E-05,1.63E-09
5.00E-02,5.00E-01,1.00E+00,1.00E-02,1.38E-03,8.97E-03,4.15E-07,6.14E-19,1.23E-04,7.38E-08
5.00E-02,5.00E-01,1.00E+00,5.00E-02,1.39E-03,1.99E-02,9.29E-07,6.17E-19,1.25E-04,1.67E-07
5.00E-02,5.00E-01,1.00E+00,1.00E-01,1.37E-03,2.82E-02,1.30E-06,6.23E-19,1.27E-04,2.35E-07
5.00E-02,5.00E-01,1.00E+00,5.00E-01,1.37E-03,6.38E-02,2.94E-06,6.21E-19,1.26E-04,5.23E-07
5.00E-02,5.00E-01,1.00E+00,1.00E+00,1.38E-03,8.87E-02,4.18E-06,6.21E-19,1.24E-04,7.47E-07
5.00E-02,5.00E-01,1.00E+00,5.00E+00,1.37E-03,2.00E-01,9.19E-06,6.24E-19,1.23E-04,1.68E-06
5.00E-02,5.00E-01,5.00E+00,1.00E-02,3.46E-02,4.47E-02,1.31E-03,2.40E-13,3.15E-03,7.25E-01
5.00E-02,5.00E-01,5.00E+00,5.00E-02,3.43E-02,1.01E-01,2.93E-03,2.43E-13,3.10E-03,1.63E+00
5.00E-02,5.00E-01,5.00E+00,1.00E-01,3.43E-02,1.43E-01,4.07E-03,2.40E-13,3.17E-03,2.30E+00
5.00E-02,5.00E-01,5.00E+00,5.00E-01,3.44E-02,3.15E-01,9.17E-03,2.40E-13,3.15E-03,5.14E+00
5.00E-02,5.00E-01,5.00E+00,1.00E+00,3.47E-02,4.51E-01,1.29E-02,2.43E-13,3.13E-03,7.26E+00
5.00E-02,5.00E-01,5.00E+00,5.00E+00,3.41E-02,1.00E+00,2.90E-02,2.41E-13,3.14E-03,1.63E+01
5.00E-02,1.00E+00,1.00E-02,1.00E-02,2.75E-07,8.97E-05,5.84E-17,6.21E-35,2.49E-08,2.13E-27
5.00E-02,1.00E+00,1.00E-02,5.00E-02,2.73E-07,2.01E-04,1.30E-16,6.15E-35,2.51E-08,4.70E-27
5.00E-02,1.00E+00,1.00E-02,1.00E-01,2.74E-07,2.86E-04,1.86E-16,6.24E-35,2.51E-08,6.67E-27
5.00E-02,1.00E+00,1.00E-02,5.00E-01,2.77E-07,6.27E-04,4.18E-16,6.20E-35,2.51E-08,1.50E-26
5.00E-02,1.00E+00,1.00E-02,1.00E+00,2.74E-07,8.91E-04,5.91E-16,6.22E-35,2.47E-08,2.09E-26
5.00E-02,1.00E+00,1.00E-02,5.00E+00,2.76E-07,2.00E-03,1.30E-15,6.25E-35,2.52E-08,4.71E-26
5.00E-02,1.00E+00,5.00E-02,1.00E-02,6.90E-06,4.52E-04,1.83E-13,2.41E-29,6.28E-07,2.07E-20
5.00E-02,1.00E+00,5.00E-02,5.00E-02,6.85E-06,1.00E-03,4.09E-13,2.40E-29,6.14E-07,4.56E-20
5.00E-02,1.00E+00,5.00E-02,1.00E-01,6.82E-06,1.41E-03,5.75E-13,2.43E-29,6.14E-07,6.57E-20
5.00E-02,1.00E+00,5.00E-02,5.00E-01,6.83E-06,3.19E-03,1.29E-12,2.42E-29,6.37E-07,1.45E-19
5.00E-02,1.00E+00,5.00E-02,1.00E+00,6.90E-06,4.44E-03,1.82E-12,2.40E-29,6.16E-07,2.06E-19
5.00E-02,1.00E+00,5.00E-02,5.00E+00,6.93E-06,1.00E-02,4.13E-12,2.42E-29,6.36E-07,4.61E-19
5.00E-02,1.00E+00,1.00E-01,1.00E-02,2.76E-05,8.97E-04,5.81E-12,6.19E-27,2.55E-06,2.10E-17
5.00E-02,1.00E+00,1.00E-01,5.00E-02,2.78E-05,2.01E-03,1.32E-11,6.19E-27,2.46E-06,4.75E-17
5.00E-02,1.00E+00,1.00E-01,1.00E-01,2.77E-05,2.83E-03,1.84E-11,6.20E-27,2.45E-06,6.67E-17
5.00E-02,1.00E+00,1.00E-01,5.00E-01,2.77E-05,6.35E-03,4.13E-11,6.19E-27,2.55E-06,1.50E-16
5.00E-02,1.00E+00,1.00E-01,1.00E+00,2.76E-05,8.91E-03,5.88E-11,6.23E-27,2.50E-06,2.12E-16
5.00E-02,1.00E+00,1.00E-01,5.00E+00,2.77E-05,2.01E-02,1.32E-10,6.18E-27,2.50E-06,4.72E-16
5.00E-02,1.00E+00,5.00E-01,1.00E-02,6.90E-04,4.50E-03,1.83E-08,2.42E-21,6.30E-05,2.07E-10
5.00E-02,1.00E+00,5.00E-01,5.00E-02,6.86E-04,1.00E-02,4.08E-08,2.44E-21,6.16E-05,4.61E-10
5.00E-02,1.00E+00,5.00E-01,1.00E-01,6.93E-04,1.42E-02,5.81E-08,2.42E-21,6.25E-05,6.57E-10
5.00E-02,1.00E+00,5.00E-01,5.00E-01,6.87E-04,3.15E-02,1.30E-07,2.42E-21,6.33E-05,1.47E-09
5.00E-02,1.00E+00,5.00E-01,1.00E+00,6.87E-04,4.49E-02,1.83E-07,2.41E-21,6.20E-05,2.07E-09
5.00E-02,1.00E+00,5.00E-01,5.00E+00,6.85E-04,1.00E-01,4.08E-07,2.44E-21,6.20E-05,4.62E-09
5.00E-02,1.00E+00,1.00E+00,1.00E-02,2.73E-03,8.98E-03,5.91E-07,6.23E-19,2.50E-04,2.09E-07
5.00E-02,1.00E+00,1.00E+00,5.00E-02,2.77E-03,1.98E-02,1.31E-06,6.25E-19,2.54E-04,4.70E-07
5.00E-02,1.00E+00,1.00E+00,1.00E-01,2.75E-03,2.81E-02,1.84E-06,6.14E-19,2.48E-04,6.64E-07
5.00E-02,1.00E+00,1.00E+00,5.00E-01,2.76E-03,6.32E-02,4.13E-06,6.23E-19,2.50E-04,1.48E-06
5.00E-02,1.00E+00,1.00E+00,1.00E+00,2.77E-03,8.95E-02,5.92E-06,6.21E-19,2.54E-04,2.10E-06
5.00E-02,1.00E+00,1.00E+00,5.00E+00,2.73E-03,2.01E-01,1.32E-05,6.19E-19,2.54E-04,4.73E-06
5.00E-02,1.00E+00,5.00E+00,1.00E-02,6.88E-02,4.44E-02,1.82E-03,2.43E-13,6.15E-03,2.06E+00
5.00E-02,1.00E+00,5.00E+00,5.00E-02,6.86E-02,9.95E-02,4.14E-03,2.44E-13,6.16E-03,4.63E+00
5.00E-02,1.00E+00,5.00E+00,1.00E-01,6.86E-02,1.42E-01,5.82E-03,2.43E-13,6.26E-03,6.54E+00
5.00E-02,1.00E+00,5.00E+00,5.00E-01,6.84E-02,3.18E-01,1.29E-02,2.41E-13,6.15E-03,1.47E+01
5.00E-02,1.00E+00,5.00E+00,1.00E+00,6.82E-02,4.51E-01,1.83E-02,2.40E-13,6.17E-03,2.06E+01
